target,annotation,species,status,activity,clone,protein,genePage,uniprot,class,superkingdom,targetRole,batch,community,maxCode,ligandCode,ligandScreenStatus
BrabA.00002.a,"Bacterial transferase hexapeptide repeat:2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",Brucella melitensis,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00002.a,Q2YJQ7,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00003.a,"Regulator of chromosome condensation, RCC1:Ribosomal protein L27",Brucella melitensis,purified,work stopped,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00003.a,Q2YLL8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-2,work stopped
BrabA.00010.a,Short-chain dehydrogenase/reductase SDR:Glucose/ribitol dehydrogenase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00010.a,Q2YMC8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00010.b,Short-chain dehydrogenase/reductase SDR:Glucose/ribitol dehydrogenase,Brucella melitensis,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00010.b,Q2YMG6,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,5,Target selected for ligand screening
BrabA.00010.c,possible enoyl-(acyl-carrier-protein) reductase,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00010.c,Q2YQR0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00011.a,cell division protein FtsZ,Brucella melitensis,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00011.a,Q2YLZ1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,2,-1,
BrabA.00012.a,Transcriptional coactivator/pterin dehydratase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00012.a,Q2YNV0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00019.a,Aldo/keto reductase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00019.a,Q2YII2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00020.a,Aldehyde dehydrogenase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00020.a,Q2YRI3,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,11,Experimental evidence of bound ligand(s)
BrabA.00021.a,"Amino acid-binding ACT:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain:D-isomer specific 2-hydroxyacid dehydr...",Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00021.a,Q2YK82,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
